stem,scene,sharp_points_total,depthpro_points_total,sharp_points_used,depthpro_points_used,z50_sharp,z50_depthpro,z99_sharp,z99_depthpro,scale_z_median,nn_dp_to_sharp_p50_raw,nn_dp_to_sharp_p95_raw,nn_dp_to_sharp_mean_raw,nn_dp_to_sharp_p50_scaled,nn_dp_to_sharp_p95_scaled,nn_dp_to_sharp_mean_scaled,nn_sharp_to_dp_p50_raw,nn_sharp_to_dp_p95_raw,nn_sharp_to_dp_mean_raw,nn_sharp_to_dp_p50_scaled,nn_sharp_to_dp_p95_scaled,nn_sharp_to_dp_mean_scaled,chamfer_mean_raw,chamfer_mean_scaled,chamfer_mean_scaled_zcap
IMG_9546,复杂工作间环境（物体零碎且不常见，远处有房子）,1179648,6117552,120000,120000,5.6820173263549805,6.904651641845703,72.76895904541016,20.91343879699707,1.2151760977249684,0.08389144740362783,1.4672319841299408,0.3739170015661067,0.22149439074626504,0.675673981312128,0.2896082094033844,0.10457606181351431,1.4055361061874208,1.6371521366893207,0.2215152373254533,0.8929534216295876,1.971157826799051,1.0055345691277138,1.1303830181012178,0.3003256475311541
IMG_9568,卧室角落（封闭、堆叠、多光线）,1179648,6117552,120000,120000,1.6712956428527832,2.0463907718658447,2.762434244155884,2.937669038772583,1.2244337383497277,0.09188166384291113,0.45314047481092223,0.1605345629003572,0.038777463030003775,0.25086208429373635,0.06386974540373704,0.1428575133551838,0.3827047294190535,0.1651022889137494,0.048964400447652295,0.9732197010747459,0.14985412944475976,0.1628184259070533,0.1068619374242484,0.06963386727128418
IMG_9569,工位桌椅（结构简单、平面直角多）,1179648,6117552,120000,120000,2.1132664680480957,2.2296509742736816,11.462456703186035,10.607645988464355,1.0550732754175973,0.03679611953990403,0.3033662083583047,0.07691773678779179,0.035837560841363886,0.4159185263538428,0.11158823653921943,0.05256254961477261,0.5452983797693363,0.12438382042614077,0.03546064053234335,0.7934396859601007,0.1681326502305253,0.10065077860696628,0.13986044338487236,0.12190163094801873
IMG_9579,走廊（长而直的地面、强透视）,1179648,6117552,120000,120000,3.9595937728881836,4.098738670349121,25.078462600708008,22.614652633666992,1.035141205245265,0.08037562635114104,0.3295751024848264,0.10386708253554636,0.10704104833821784,0.3526741429708885,0.13366335942997887,0.0844281754785125,0.46801737679615585,0.15132128764302125,0.11092990042161227,0.5696632576518473,0.1972296833460557,0.1275941850892838,0.1654465213880173,0.13717957578928947
IMG_9581,玻璃罩船模（反光/高光导致几何歧义）,1179648,6117552,120000,120000,2.670806884765625,2.1810178756713867,17.400781631469727,6.260283946990967,0.8166138435961013,0.14331780947376802,0.6268569192501511,0.22213185746995345,0.1765976857274046,0.6492055611917509,0.1959212897839476,0.15138903026761008,4.041968247664469,0.7472971189334506,0.21055800636785427,2.833550489774622,0.5761012375313935,0.48471448820170204,0.3860112636576706,0.21374708937137704
IMG_9582,黑色电梯间（低照度/暗部信息少）,1179648,6117552,120000,120000,2.797886610031128,3.6450581550598145,20.08952522277832,17.60857582092285,1.3027898064172305,0.2435224602570528,0.5720197451296302,0.2647647916587845,0.05044101117775251,0.2636582245915428,0.08353929886991159,0.3201230475194108,0.6319585478911449,0.39294984195459365,0.054512286798509585,0.7349923647817743,0.2874039276390032,0.32885731680668906,0.18547161325445738,0.08752727890975234
