,vertex_count,width,height,valid_ratio,depth_min,depth_p01,depth_median,depth_mean,depth_p99,depth_max,density_mean,density_max,file_size_bytes,width_px,height_px,megapixels,aspect_ratio,brightness_mean,contrast_std,sharpness_laplacian_var,noise_sigma_est,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_entropy,g_entropy,b_entropy
vertex_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aspect_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brightness_mean,,,,-0.5411974402715265,0.132300997574604,0.14159961110521602,-0.37439192320736536,-0.2792507341491746,-0.4992654251804618,-0.5796799956289196,-0.4892961225773119,-0.3219958672871796,-0.5803503925248524,,,,,1.0,-0.2177895842205584,-0.17592655699298587,-0.4923484309666178,0.8866200206469353,0.9902065022197125,0.8677487815212378,-0.09095264971524335,-0.2674867335630086,-0.4261737777593687,-0.1856749566884011,-0.22594656137191407,-0.1740838748934803
contrast_std,,,,0.2600392105783558,-0.49800215100259576,-0.5288058825880522,-0.6935610280698241,-0.6820670824719745,-0.46412317785978846,-0.3594609079133621,0.22490827179404022,0.1811573285024062,0.7257687987767438,,,,,-0.2177895842205584,1.0,0.05948788537546353,0.5184932742740858,-0.0794862392008232,-0.25998112131131246,-0.16416397650390713,0.9587605075851673,0.9972574204225265,0.9048458521197967,0.9392428221657859,0.9208815569029263,0.81807745532452
sharpness_laplacian_var,,,,0.8205766768234262,0.21009769705688236,0.20961211200453567,0.2805662384090557,0.3122477242098027,0.3893405157612005,0.42703469054283383,0.8611252981694162,-0.2722738001660233,0.19094223252291906,,,,,-0.17592655699298587,0.05948788537546353,1.0,-0.3008094424820611,-0.46173136509484514,-0.09866573509270972,0.2923626836690571,-0.205022398900259,0.11988347140123547,0.43089206721760825,0.06394352040687902,0.23633459706422963,0.3783442782125679
noise_sigma_est,,,,-0.21057152395867254,-0.767229801097858,-0.7745970704179828,-0.5045392032652841,-0.6254129075974454,-0.4466679427324827,-0.3513259757159112,-0.23915756648647235,0.3416985959153358,0.6717629498804231,,,,,-0.4923484309666178,0.5184932742740858,-0.3008094424820611,1.0,-0.1131114474339275,-0.5925628563690678,-0.603907583917044,0.5923239242822791,0.5196472068657532,0.4035490672726923,0.4876514794486257,0.558520777837886,0.554813973296308
r_mean,,,,-0.7610902499615465,-0.034414295081210945,-0.029152214276425018,-0.5650870844354698,-0.5258866084457157,-0.6666668598607806,-0.711275671977319,-0.7107808737303765,0.028672002398738912,-0.30637837434791265,,,,,0.8866200206469353,-0.0794862392008232,-0.46173136509484514,-0.1131114474339275,1.0,0.8144014764437462,0.5830766473436835,0.13177310155533667,-0.14018803573126998,-0.3758479492399748,0.01974480504967626,-0.04307129590629035,-0.023399172935777743
g_mean,,,,-0.4589342982375924,0.18815442552413367,0.1982654685365202,-0.2897992411645482,-0.18158873776783377,-0.4180998242723287,-0.5075791848394632,-0.4099759985489526,-0.4073597010113767,-0.647864007470907,,,,,0.9902065022197125,-0.25998112131131246,-0.09866573509270972,-0.5925628563690678,0.8144014764437462,1.0,0.9073362762487164,-0.16087984303753852,-0.30500126153477614,-0.4363072280281951,-0.24876078558935605,-0.28624430923166044,-0.2316225936470636
b_mean,,,,-0.1477391223360212,0.10553638919850045,0.11599573633403729,-0.25843757304118187,-0.14344978795834207,-0.3520975204133934,-0.4225965343447609,-0.09287208425126327,-0.609125568441349,-0.5519344046565786,,,,,0.8677487815212378,-0.16416397650390713,0.2923626836690571,-0.603907583917044,0.5830766473436835,0.9073362762487164,1.0,-0.1735338801280785,-0.1839994210433021,-0.21114990895963515,-0.20303134232996428,-0.1481609271709403,-0.02703463606645577
r_std,,,,-0.013150062589052713,-0.5564062307008184,-0.5854314288910694,-0.8105460160249339,-0.8079857110463657,-0.6211372335172656,-0.5283027818822306,-0.04885388022286534,0.2535023159748233,0.6582064988928314,,,,,-0.09095264971524335,0.9587605075851673,-0.205022398900259,0.5923239242822791,0.13177310155533667,-0.16087984303753852,-0.1735338801280785,1.0,0.9373536100419025,0.7560495448870442,0.9138377387575933,0.859957844891198,0.7378489813910541
g_std,,,,0.32149016897950733,-0.4880662794222708,-0.5187402054485364,-0.653761869489434,-0.6455519657384177,-0.4170035243042054,-0.30813631918338824,0.28710947601346604,0.17843447606053078,0.7519099898925327,,,,,-0.2674867335630086,0.9972574204225265,0.11988347140123547,0.5196472068657532,-0.14018803573126998,-0.30500126153477614,-0.1839994210433021,0.9373536100419025,1.0,0.9324772841686011,0.9366407934316162,0.93070346452261,0.8359392856182611
b_std,,,,0.621414760811364,-0.30564158429139543,-0.335003353798265,-0.3990575099181139,-0.39616901873107463,-0.1299673597210482,-0.009788948516267272,0.6004014545037102,0.19213829212098216,0.818164237006449,,,,,-0.4261737777593687,0.9048458521197967,0.43089206721760825,0.4035490672726923,-0.3758479492399748,-0.4363072280281951,-0.21114990895963515,0.7560495448870442,0.9324772841686011,1.0,0.8782557064699613,0.9176094409046052,0.8612962708260592
r_entropy,,,,0.2628342480137238,-0.28706445855746315,-0.31968371496056114,-0.6286106093113214,-0.6320677914032797,-0.36705642090089274,-0.2479458473837755,0.2524785596190187,0.46072130150017665,0.8395155200349559,,,,,-0.1856749566884011,0.9392428221657859,0.06394352040687902,0.4876514794486257,0.01974480504967626,-0.24876078558935605,-0.20303134232996428,0.9138377387575933,0.9366407934316162,0.8782557064699613,1.0,0.9610935677040577,0.854379765581388
g_entropy,,,,0.3221216042661916,-0.4056751717749532,-0.43336630547964367,-0.6416454830121217,-0.6597370317698524,-0.39567804268050594,-0.26844088028783475,0.3230111385471926,0.3450342012124693,0.8715596059045958,,,,,-0.22594656137191407,0.9208815569029263,0.23633459706422963,0.558520777837886,-0.04307129590629035,-0.28624430923166044,-0.1481609271709403,0.859957844891198,0.93070346452261,0.9176094409046052,0.9610935677040577,1.0,0.9625871233548404
b_entropy,,,,0.31871358094088753,-0.4603850512197486,-0.48089720731652175,-0.6323024662086412,-0.6592825596017279,-0.42297103863767843,-0.29976330667722306,0.3379451573491842,0.22321980762854607,0.8203874228206055,,,,,-0.1740838748934803,0.81807745532452,0.3783442782125679,0.554813973296308,-0.023399172935777743,-0.2316225936470636,-0.02703463606645577,0.7378489813910541,0.8359392856182611,0.8612962708260592,0.854379765581388,0.9625871233548404,1.0
